business_id,categories,city,latitude,longitude,name,postal_code,review_count,stars,state,isBankrupt,county,isChain,density,cluster,neighborhood,ethnics,types,Dessert,time,tableService,alcohol,caters,hasTV,forGroups,noiceLevel,hasWiFi,attire,reservations,outdoorSeating,acceptCreditCard,priceRange,delivery,takeOut,goodForKids,driveThru,wheelchairAccessible,dogsAllowed,happyHour,smoking,garage,street,validated,lot,valet
rDMptJYWtnMhpQu_rRXHng,"['Fast Food', 'Burgers', 'Restaurants']",Phoenix,33.6070702,-112.0643825,McDonald's,85022,10,1.0,AZ,0,Maricopa County,1,2493,112,13,[],['Fast Food'],False,"['Lunch', 'Breakfast']",False,False,False,True,True,loud,free,casual,False,False,True,1.0,False,True,True,True,,,,,False,False,False,True,False
1WBkAuQg81kokZIPMpn9Zg,"['Burgers', 'Restaurants']",Phoenix,33.60731,-112.063404,Charr An American Burger Bar,85022,232,3.0,AZ,0,Maricopa County,0,2493,112,13,[],['Fast Food'],False,['Dinner'],True,True,True,True,True,average,free,casual,False,True,True,2.0,True,True,True,False,,,,,False,False,False,True,False
iPa__LOhse-hobC2Xmp-Kw,"['Restaurants', 'Burgers', 'Fast Food']",Phoenix,33.5087649,-112.04624,McDonald's,85016,34,3.0,AZ,0,Maricopa County,1,2493,98,22,[],['Fast Food'],False,"['Latenight', 'Lunch', 'Dinner', 'Breakfast']",False,False,False,False,True,loud,paid,casual,False,False,True,1.0,False,True,True,True,True,,,,False,False,False,True,False
YhV93k9uiMdr3FlV4FHjwA,"['Marketing', ""Men's Clothing"", 'Restaurants', 'Graphic Design', ""Women's Clothing"", 'Screen Printing', 'Advertising', 'Pizza', 'Shopping', 'Web Design', 'Fashion', 'Local Services', 'Screen Printing/T-Shirt Printing', 'Professional Services']",Phoenix,33.4499672,-112.0702225,Caviness Studio,85001,4,5.0,AZ,0,Maricopa County,0,2493,718,24,[],['Pizza'],False,[],,,,,,,,,False,,True,,False,,,,,,,,,,,,
VdlPZg2NAu8t8GkdbPLecg,"['Restaurants', 'Gluten-Free', 'Indian', 'Seafood']",Scottsdale,33.5552118623,-111.900456296,Tandoori Times Indian Bistro,85258,263,3.5,AZ,0,Maricopa County,0,844,246,11,['SouthEastAisa'],['Gluten-Free' 'Seafood'],False,['Dinner'],True,True,True,True,True,average,free,casual,True,True,True,2.0,True,True,True,,True,True,,,False,False,False,True,False
QkG3KUXwqZBW18A9k1xqCA,"['American (Traditional)', 'Restaurants', 'Seafood']",Phoenix,33.4787353,-112.2213794,Red Lobster,85035,37,2.5,AZ,0,Maricopa County,1,2493,293,27,['American'],['Seafood'],False,['Dinner'],True,True,False,True,True,quiet,no,casual,True,False,True,2.0,False,True,True,,True,,,,False,False,False,False,False
MTH-AcNyWfsBa9sXp04HcQ,"['Food', 'Delis', 'Fast Food', 'Sandwiches', 'Restaurants']",Mesa,33.3796209,-111.7571603,Firehouse Subs,85204,82,3.5,AZ,0,Maricopa County,1,778,92,35,[],['Fast Food' 'Meat'],False,"['Lunch', 'Dinner']",False,False,True,True,True,average,no,casual,False,True,True,1.0,False,True,True,False,True,,,,False,False,False,True,False
2v-8QQfMLX2PCz-0S6gISQ,"['Pizza', 'Restaurants', 'Fast Food']",Phoenix,33.552869500199996,-112.133711849,Papa John's Pizza,85051,7,2.5,AZ,0,Maricopa County,1,2493,295,15,[],['Fast Food' 'Pizza'],False,[],False,False,,,,,no,,False,False,True,2.0,True,True,True,,,,,,False,False,False,False,False
M3uV9Y3EDSpy9d4YwyNSAQ,"['Nightlife', 'Japanese', 'Music Venues', 'Ramen', 'Arts & Entertainment', 'Restaurants', 'Bars']",Phoenix,33.5823628,-112.1498845,Yakiramen,85029,66,4.0,AZ,0,Maricopa County,0,2493,56,10,['EastAsia'],['Alcohol' 'Noodles'],False,"['Lunch', 'Dinner']",,True,False,True,True,,no,casual,False,True,True,2.0,False,True,True,,,,True,,False,False,False,False,False
U1ZVgF-kfkvv_rcoe0RglQ,"['Restaurants', 'Noodles', 'Vietnamese']",Phoenix,33.4887595,-112.08240184200001,Pho Noodles,85013,172,4.5,AZ,0,Maricopa County,0,2493,461,10,['SouthEastAisa'],['Noodles'],False,"['Lunch', 'Dinner']",True,False,True,True,True,average,no,casual,False,False,True,1.0,False,True,True,,,,,,False,False,False,True,False
